Housing_or_CommNotices,County,Region,Subregion,Year,Value
Commencement Notices,Limerick,Southern,Mid West,2021,116
Commencement Notices,Longford,Eastern & Midland,Midland,2021,28
Commencement Notices,Louth,Eastern & Midland,Mid East,2021,188
Commencement Notices,Meath,Eastern & Midland,Mid East,2021,314
Commencement Notices,Monaghan,Northern & Western,Border,2021,21
Commencement Notices,Offaly,Eastern & Midland,Midland,2021,15
Commencement Notices,Roscommon,Northern & Western,West,2021,24
Commencement Notices,Sligo,Northern & Western,Border,2021,6
Commencement Notices,Tipperary,Southern,Mid West,2021,41
Commencement Notices,Waterford,Southern,South East,2021,32
Commencement Notices,Westmeath,Eastern & Midland,Midland,2021,38
Commencement Notices,Wexford,Southern,South East,2021,88
Commencement Notices,Wicklow,Eastern & Midland,Mid East,2021,7
